speed 38400 baud; line = 0;
min = 1; time = 0;
-brkint -icrnl -imaxbel
-onlcr
-isig -icanon -echo
Q31
Q11
14:16:02 # Thu May 31 14:16:02 2001
14:16:02 # IOM Initialization
14:16:02 # TTY Initialization
14:16:03 # IO Initialization
14:16:03 # IO Initialization complete
14:16:03 # IOM Commencement
14:16:03 Analog: L@: 1.774384  # 1.774384  ( 1 )
14:16:03 ! MODE D @@@A
14:16:03 ! MODE B @@@A
20:21:10 Analog: L@: 1.753570  # 1.75836714005  ( 366 )
20:22:10 Analog: L@: 1.766579  # 1.76247307003  ( 367 )
20:23:10 Analog: L@: 1.753570  # 1.75802153501  ( 368 )
20:24:10 Analog: L@: 1.769181  # 1.76360126751  ( 369 )
20:25:10 Analog: L@: 1.756172  # 1.75988663375  ( 370 )
20:26:10 Analog: L@: 1.766579  # 1.76323281688  ( 371 )
20:27:10 Analog: L@: 1.774384  # 1.76880840844  ( 372 )
20:28:10 Analog: L@: 1.761376  # 1.76509220422  ( 373 )
20:29:10 Analog: L@: 1.758774  # 1.76193310211  ( 374 )
20:30:10 Analog: L@: 1.766579  # 1.76425605105  ( 375 )
20:31:10 Analog: L@: 1.758774  # 1.76151502553  ( 376 )
20:32:10 Analog: L@: 1.769181  # 1.76534801276  ( 377 )
20:33:10 Analog: L@: 1.769181  # 1.76726450638  ( 378 )
20:34:10 Analog: L@: 1.763977  # 1.76562075319  ( 379 )
20:35:10 Analog: L@: 1.758774  # 1.7621973766  ( 380 )
20:36:10 Analog: L@: 1.774384  # 1.7682906883  ( 381 )
